epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1254.16,1.05936,0.75067,0.23722,0.58083,0.55489,0.57305,0.35255,1.20211,0.79102,0.23726,0.0011882,0.0011882,0.0011882
43,1284.16,1.05362,0.7452,0.23628,0.58109,0.55604,0.57155,0.34355,1.22967,0.79238,0.239,0.0011684,0.0011684,0.0011684
44,1313.83,1.05344,0.74195,0.2363,0.58131,0.55221,0.56561,0.34,1.23976,0.79242,0.23799,0.0011486,0.0011486,0.0011486
45,1343.55,1.04644,0.736,0.23573,0.57418,0.56134,0.57141,0.35455,1.1743,0.78535,0.2374,0.0011288,0.0011288,0.0011288
46,1373.5,1.03222,0.73398,0.23505,0.57909,0.55231,0.57114,0.34586,1.23488,0.78749,0.2382,0.001109,0.001109,0.001109
47,1403.36,1.03274,0.7296,0.23521,0.57439,0.55762,0.57314,0.35038,1.21576,0.7837,0.23879,0.0010892,0.0010892,0.0010892
48,1433.06,1.03536,0.7329,0.23641,0.58204,0.56095,0.57754,0.34973,1.23458,0.78053,0.24002,0.0010694,0.0010694,0.0010694
49,1462.76,1.0246,0.72611,0.23443,0.59381,0.56283,0.58602,0.3609,1.18279,0.77134,0.23673,0.0010496,0.0010496,0.0010496
50,1493.24,1.02744,0.7261,0.23378,0.60317,0.5592,0.58349,0.35518,1.21268,0.77939,0.23783,0.0010298,0.0010298,0.0010298
51,1522.98,1.02315,0.72501,0.23466,0.58857,0.54964,0.57751,0.35337,1.2194,0.77896,0.23747,0.00101,0.00101,0.00101
52,1552.57,1.01502,0.71799,0.23361,0.60104,0.56815,0.59372,0.37018,1.17782,0.76069,0.23676,0.0009902,0.0009902,0.0009902
53,1582.53,1.00077,0.71151,0.23259,0.5905,0.57603,0.59292,0.36657,1.20314,0.75834,0.2359,0.0009704,0.0009704,0.0009704
54,1612.34,1.0068,0.71085,0.23272,0.59875,0.56687,0.59359,0.35923,1.24319,0.77083,0.23886,0.0009506,0.0009506,0.0009506
55,1642.12,1.00435,0.71145,0.23262,0.60199,0.5714,0.59447,0.36927,1.19283,0.75913,0.23644,0.0009308,0.0009308,0.0009308
56,1671.78,0.99532,0.70655,0.23181,0.5825,0.57927,0.5869,0.35757,1.23873,0.76925,0.23731,0.000911,0.000911,0.000911
57,1702.51,0.99481,0.70314,0.23182,0.60814,0.56707,0.59347,0.36725,1.18757,0.75831,0.2348,0.0008912,0.0008912,0.0008912
58,1733.26,0.99055,0.70145,0.2313,0.61707,0.57363,0.60643,0.38007,1.17214,0.74712,0.2362,0.0008714,0.0008714,0.0008714
