epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15870.9,0.87759,0.95955,0.57711,0.29363,0.14939,0.14502,0.07266,1.63656,1.64774,1.05638,0.005842,0.005842,0.005842
44,16220.2,0.88815,0.95662,0.58633,0.29374,0.15106,0.14915,0.07565,1.62877,1.63919,1.0522,0.005743,0.005743,0.005743
45,16567,0.87523,0.92477,0.57754,0.29558,0.1513,0.15283,0.07784,1.62226,1.6327,1.04922,0.005644,0.005644,0.005644
46,16914.3,0.87468,0.93566,0.58199,0.30343,0.1532,0.15587,0.07976,1.61111,1.6242,1.04432,0.005545,0.005545,0.005545
47,17261.8,0.88466,0.93902,0.58517,0.31028,0.15392,0.15794,0.08079,1.60285,1.61491,1.04019,0.005446,0.005446,0.005446
48,17609.4,0.87093,0.92771,0.57842,0.31393,0.15678,0.15981,0.08132,1.59443,1.60742,1.03641,0.005347,0.005347,0.005347
49,17957.3,0.86832,0.93753,0.576,0.31493,0.15773,0.16292,0.0833,1.5843,1.60021,1.03263,0.005248,0.005248,0.005248
50,18303.6,0.86562,0.9189,0.57197,0.32255,0.1594,0.16535,0.08481,1.57562,1.59243,1.02862,0.005149,0.005149,0.005149
51,18649.7,0.86068,0.90738,0.56903,0.33549,0.16035,0.16888,0.08703,1.56876,1.58585,1.02491,0.00505,0.00505,0.00505
52,18997.8,0.84787,0.90943,0.56151,0.34494,0.16274,0.17111,0.08815,1.56214,1.58205,1.02222,0.004951,0.004951,0.004951
53,19344.5,0.85324,0.91368,0.56697,0.351,0.1652,0.17331,0.08935,1.5553,1.5782,1.01838,0.004852,0.004852,0.004852
54,19690.5,0.83796,0.89255,0.56289,0.35979,0.16702,0.17626,0.09081,1.54815,1.573,1.01509,0.004753,0.004753,0.004753
55,20034.6,0.8399,0.89465,0.56105,0.36246,0.16964,0.1783,0.09237,1.54093,1.56646,1.01225,0.004654,0.004654,0.004654
