mid_idx,mid_freq,fine_idx,fine_freq,cosine,delta_MHz
0,1618.6523,23,1618.657264,0.8813952207565308,-0.004963999999972657
2,1618.6523,1212,1620.377135,0.8331805467605591,-1.7248349999999846
5,1618.6523,2071,1618.833977,0.9357935190200806,-0.18167700000003606
6,1618.6523,2802,1622.926444,0.9083322286605835,-4.274143999999978
8,1618.6523,1741,1620.232732,0.9211916923522949,-1.5804319999999734
9,1618.6523,2318,1621.473586,0.9050260186195374,-2.8212860000001
10,1618.6523,2760,1619.633269,0.9845393300056458,-0.9809689999999591
11,1618.6523,1799,1618.01286,0.9422149062156677,0.6394399999999223
12,1618.6523,110,1619.204518,0.8619636297225952,-0.552218000000039
13,1618.6523,797,1623.079176,0.9406548142433167,-4.426875999999993
14,1618.6523,1022,1618.221042,0.8888722658157349,0.43125800000007075
17,1618.6523,2739,1620.833667,0.907845675945282,-2.1813670000001366
20,1618.6523,1493,1618.02828,0.8667438626289368,0.6240199999999732
21,1618.6523,987,1622.534146,0.8397022485733032,-3.881845999999996
22,1618.6509,613,1623.086633,0.9224184155464172,-4.4357329999998
24,1618.6523,2881,1620.896696,0.8753675818443298,-2.2443960000000516
25,1618.6523,1217,1623.081302,0.951928973197937,-4.429002000000082
31,1618.6523,2851,1623.598846,0.9055182337760925,-4.946546000000126
34,1618.6523,926,1621.416824,0.9267866015434265,-2.7645239999999376
35,1618.6523,1850,1622.777212,0.8771910667419434,-4.124911999999995
38,1618.6509,1717,1619.962463,0.9558600187301636,-1.3115629999999783
39,1618.6523,231,1619.881069,0.9349036812782288,-1.2287690000000566
41,1618.6523,154,1618.202353,0.9319590926170349,0.4499470000000656
42,1618.6523,2193,1622.223741,0.8737534880638123,-3.57144100000005
43,1618.6523,306,1620.156409,0.9370577931404114,-1.5041089999999713
46,1618.6523,1085,1622.422242,0.8693643808364868,-3.7699420000001282
47,1618.6523,888,1622.382497,0.9046831130981445,-3.7301970000000892
50,1618.6523,2262,1622.276226,0.9590696096420288,-3.623925999999983
51,1618.6523,2579,1621.138531,0.9369779229164124,-2.486231000000089
52,1618.6523,583,1620.908249,0.9609941840171814,-2.2559490000001006
54,1618.6523,2389,1623.580404,0.9079793691635132,-4.928104000000076
56,1618.6523,179,1622.255696,0.927090048789978,-3.603395999999975
57,1618.6523,679,1619.530837,0.9635919332504272,-0.8785370000000512
58,1618.6523,2569,1620.832862,0.8911387920379639,-2.180562000000009
60,1618.6523,2528,1619.515026,0.8254008293151855,-0.862726000000066
64,1618.6523,2556,1621.798357,0.8455684185028076,-3.146056999999928
66,1618.6523,475,1620.997318,0.9333618879318237,-2.345017999999982
67,1618.6523,906,1618.797212,0.9233914017677307,-0.14491199999997662
68,1618.6509,336,1622.778939,0.846366822719574,-4.128038999999944
70,1618.6523,2890,1617.994465,0.8505218625068665,0.6578349999999773
72,1618.6523,2287,1619.204442,0.9635976552963257,-0.5521420000000035
73,1618.6523,1982,1619.960275,0.977009654045105,-1.3079749999999422
74,1618.6523,496,1620.241473,0.9792089462280273,-1.5891730000000734
75,1618.6523,444,1618.215413,0.9291285276412964,0.43688700000006975
77,1618.6523,737,1620.531913,0.8630956411361694,-1.879613000000063
78,1618.6523,2795,1618.86915,0.8947336077690125,-0.2168500000000222
79,1618.6523,28,1622.089843,0.9470704197883606,-3.437543000000005
80,1618.6523,2131,1619.972932,0.8057194948196411,-1.3206319999999323
81,1618.6523,1974,1621.828389,0.9509373903274536,-3.1760890000000472
82,1618.6523,2480,1620.129934,0.8569214344024658,-1.47763400000008
84,1618.6523,1561,1623.345151,0.8306939005851746,-4.692851000000019
85,1618.6523,337,1619.863272,0.8061661124229431,-1.2109720000000834
89,1618.6523,60,1618.463027,0.8764675259590149,0.1892729999999574
91,1618.6523,1199,1620.297446,0.9761587381362915,-1.645146000000068
93,1618.6523,873,1619.219975,0.9409899711608887,-0.5676750000000084
94,1618.6523,1868,1623.237479,0.9579442739486694,-4.5851789999999255
95,1618.6509,2936,1622.088323,0.9589085578918457,-3.4374229999998533
97,1618.6523,1661,1618.469914,0.9245621562004089,0.1823859999999513
100,1618.6523,1955,1622.848284,0.8647659420967102,-4.195983999999953
101,1618.6523,2695,1620.237367,0.9694966077804565,-1.585066999999981
103,1618.6523,2586,1618.125903,0.9736806154251099,0.5263969999998608
104,1618.6523,1479,1621.26864,0.9584027528762817,-2.6163400000000365
105,1618.6523,1490,1620.315406,0.8324695825576782,-1.6631059999999707
108,1618.6523,346,1621.869958,0.9296908974647522,-3.2176580000000286
109,1618.6523,2605,1622.740505,0.8714245557785034,-4.088205000000016
110,1618.6523,599,1620.041057,0.9147840738296509,-1.3887569999999414
111,1618.6523,1581,1618.611225,0.8260934352874756,0.0410749999998643
112,1618.6523,2408,1619.696282,0.9196822643280029,-1.0439820000001419
113,1618.6523,1408,1622.438394,0.8825012445449829,-3.7860940000000483
114,1618.6523,1434,1620.422755,0.9576910138130188,-1.7704550000000836
115,1618.6523,959,1622.673788,0.8729999661445618,-4.02148800000009
117,1618.6523,2433,1620.858558,0.8720550537109375,-2.2062579999999343
118,1618.6523,1670,1621.871458,0.8393397927284241,-3.2191580000001068
119,1618.6523,1097,1620.796463,0.9107109308242798,-2.144162999999935
120,1618.6523,510,1621.980177,0.9040884375572205,-3.327876999999944
121,1618.6523,1657,1619.880354,0.9577670097351074,-1.2280539999999291
124,1618.6523,2443,1618.41489,0.9435775279998779,0.23740999999995438
125,1618.6523,2555,1622.788061,0.9387023448944092,-4.135761000000002
127,1618.6523,783,1619.088831,0.8583759665489197,-0.43653100000005907
128,1618.6509,1487,1618.15079,0.9114261865615845,0.500110000000177
130,1618.6523,82,1620.519772,0.9618597626686096,-1.8674720000001344
134,1618.6523,1441,1619.536252,0.9438380599021912,-0.8839520000001357
136,1618.6523,1826,1618.084174,0.9522808194160461,0.5681259999998929
137,1618.6523,2937,1621.914304,0.9595655202865601,-3.2620039999999335
139,1618.6523,980,1618.413812,0.9271768927574158,0.23848799999996118
141,1618.6523,1697,1619.626656,0.9566764831542969,-0.9743559999999434
144,1618.6523,523,1620.120046,0.8599443435668945,-1.4677460000000337
145,1618.6523,2086,1620.783458,0.9022860527038574,-2.1311580000001413
147,1618.6523,1238,1621.082055,0.8104448914527893,-2.429755000000114
149,1618.6523,1478,1619.307507,0.8896412253379822,-0.6552070000000185
150,1618.6523,2499,1621.922392,0.8669048547744751,-3.270091999999977
152,1618.6523,2464,1619.826032,0.9382421374320984,-1.1737319999999727
153,1618.6523,1324,1619.246883,0.9661483764648438,-0.5945830000000569
156,1618.6523,2008,1619.79984,0.9696038365364075,-1.1475399999999354
157,1621.582,2028,1623.160514,0.9324904680252075,-1.5785139999998137
159,1618.6523,2397,1621.369173,0.890586793422699,-2.716873000000078
163,1621.582,2024,1622.652353,0.8372628688812256,-1.070352999999841
164,1624.5117,2668,1624.994768,0.9283667802810669,-0.48306800000000294
175,1618.6509,2518,1616.419109,0.7020218968391418,2.2317910000001575
176,1618.6523,1177,1621.959046,0.8728924989700317,-3.3067459999999755
177,1621.582,2257,1619.600505,0.8827718496322632,1.9814949999999953
180,1627.44,87,1626.093211,0.9043147563934326,1.3467889999999443
181,1624.5117,1582,1622.768814,0.846842348575592,1.7428859999999986
183,1624.5117,1682,1626.994897,0.9437621831893921,-2.4831970000000183
185,1627.4414,5,1626.466704,0.9067005515098572,0.9746959999999945
188,1621.582,70,1620.897878,0.7397502660751343,0.6841220000001158
192,1621.582,1089,1622.326805,0.9234763383865356,-0.7448049999998148
194,1624.5103,2619,1625.322727,0.7444556951522827,-0.8124270000000706
202,1618.6523,1486,1622.020315,0.8937805891036987,-3.368015000000014
206,1627.4414,2121,1626.101274,0.8803762197494507,1.3401259999998274
209,1624.5117,2040,1626.140215,0.9205922484397888,-1.6285149999998794
214,1545.4102,2999,1545.988997,0.8715774416923523,-0.578796999999895
223,1621.5806,908,1621.139576,0.7476083040237427,0.44102399999997033
226,1621.582,1666,1620.73856,0.8116487264633179,0.8434400000001006
228,1618.6523,1128,1616.325377,0.7902600765228271,2.326923000000079
229,1624.5117,2773,1623.367961,0.9139062166213989,1.143739000000096
230,1624.5117,2799,1624.992748,0.7810803651809692,-0.48104799999987335
231,1627.44,47,1626.137573,0.9657243490219116,1.3024270000000797
232,1618.6523,1592,1620.6505,0.9670557379722595,-1.998199999999997
233,1618.6509,420,1621.199607,0.8947950005531311,-2.548706999999922
234,1618.6523,2337,1619.815534,0.9689828157424927,-1.1632340000001022
236,1618.6523,726,1619.966509,0.9571706652641296,-1.314209000000119
238,1618.6523,238,1620.794825,0.948699414730072,-2.142524999999978
240,1618.6509,662,1620.656965,0.8297090530395508,-2.0060649999998077
241,1618.6523,1968,1618.09835,0.9076347351074219,0.5539499999999862
244,1618.6523,1047,1619.872405,0.9887998104095459,-1.2201050000001032
246,1624.5117,1569,1619.954489,0.9491751790046692,4.557211000000052
249,1627.4414,773,1626.082272,0.7627400159835815,1.3591279999998278
258,1627.4414,1816,1626.131382,0.8215836882591248,1.3100179999999
260,1627.4414,2364,1626.116842,0.918181836605072,1.3245580000000245
261,1624.5117,1969,1622.938282,0.8021502494812012,1.573417999999947
264,1615.7212,1360,1619.377792,0.9560348391532898,-3.656592000000046
265,1627.4414,2333,1626.132743,0.8948338031768799,1.3086570000000393
273,1621.582,127,1620.791302,0.8307473659515381,0.7906980000000203
276,1627.4414,388,1623.534258,0.9118025302886963,3.9071420000000217
277,1621.582,1230,1619.810505,0.7124126553535461,1.7714950000001863
278,1621.582,480,1617.129464,0.7475273609161377,4.452536000000009
281,1624.5117,2304,1623.792028,0.921468198299408,0.7196719999999459
282,1627.44,397,1622.490065,0.8847231864929199,4.949935000000096
287,1627.4414,751,1626.079075,0.9183392524719238,1.362324999999828
293,1621.582,1218,1616.824416,0.7907216548919678,4.757584000000179
294,1621.582,2275,1624.074675,0.8962486386299133,-2.492674999999963
295,1624.5117,2035,1622.391175,0.8279598951339722,2.1205250000000433
297,1618.6523,2210,1618.693993,0.7694723606109619,-0.04169300000012299
299,1624.5103,2172,1620.018039,0.796411395072937,4.492260999999871
301,1621.582,43,1620.520797,0.9220406413078308,1.061203000000205
302,1618.6523,19,1621.499221,0.896613359451294,-2.8469210000000658
303,1618.6509,2246,1622.470932,0.9568970799446106,-3.8200319999998555
306,1618.6523,2230,1621.405946,0.9313039779663086,-2.753646000000117
307,1618.6523,79,1620.667459,0.9342636466026306,-2.0151590000000397
308,1618.6523,65,1623.379811,0.9578022360801697,-4.7275110000000495
309,1618.6523,913,1619.14953,0.8072842955589294,-0.497229999999945
310,1618.6523,2704,1622.124222,0.9730306267738342,-3.4719219999999495
311,1618.6523,631,1621.467046,0.9474553465843201,-2.8147460000000137
313,1618.6523,2836,1623.071607,0.963962972164154,-4.419307000000117
314,1618.6509,1021,1620.493976,0.9400964379310608,-1.8430759999998827
315,1624.5117,2313,1626.444642,0.8557764887809753,-1.9329419999999118
320,1621.5806,2707,1616.954877,0.7161733508110046,4.625723000000107
324,1627.4414,2162,1622.529589,0.8649532198905945,4.911810999999943
327,1615.7227,447,1618.187472,0.9207770228385925,-2.464772000000039
333,1627.4414,793,1626.138247,0.9400358200073242,1.3031529999998384
334,1627.4414,373,1625.654502,0.8586107492446899,1.7868979999998373
337,1627.4414,2081,1626.104043,0.7560411095619202,1.3373569999998836
338,1627.4414,1301,1626.12557,0.8455798625946045,1.3158300000000054
341,1621.582,1276,1623.83733,0.9239488244056702,-2.255329999999958
346,1627.4414,1760,1626.116709,0.8946625590324402,1.3246910000000298
348,1627.44,1499,1622.729148,0.8649970293045044,4.710852000000159
350,1621.5806,369,1624.157863,0.7316351532936096,-2.5772629999999026
357,1621.582,2960,1621.326414,0.7675952315330505,0.2555859999999939
358,1624.5117,546,1623.663339,0.88347989320755,0.8483610000000681
361,1627.4414,1568,1626.071515,0.7460410594940186,1.3698849999998401
363,1621.582,1077,1618.919939,0.926675021648407,2.6620609999999942
367,1621.582,244,1619.135083,0.9035599827766418,2.4469170000002123
373,1627.44,2684,1626.137942,0.9608116149902344,1.3020579999999882
375,1618.6523,2996,1618.296392,0.9375708103179932,0.35590799999999945
376,1618.6523,2690,1619.567871,0.9743222594261169,-0.9155709999999999
377,1618.6523,1936,1619.107893,0.822298526763916,-0.45559300000013536
379,1618.6523,2510,1622.075588,0.9540429711341858,-3.423287999999957
380,1618.6523,1839,1620.776407,0.9319218397140503,-2.1241070000000946
381,1618.6523,1719,1620.112833,0.9330957531929016,-1.4605329999999412
382,1618.6509,427,1623.538358,0.8897414803504944,-4.887457999999924
383,1618.6523,1756,1623.005139,0.9569838047027588,-4.352839000000131
385,1627.4414,2717,1622.797319,0.9086353778839111,4.644080999999915
386,1621.582,1413,1623.514859,0.9153883457183838,-1.9328589999997803
391,1624.5117,680,1620.88535,0.9301830530166626,3.626350000000002
393,1621.582,1734,1622.813992,0.8116787075996399,-1.231991999999991
394,1627.4414,1985,1626.096239,0.7463765740394592,1.3451609999999619
395,1624.5117,821,1620.314953,0.7782663702964783,4.196746999999959
397,1624.5117,2781,1621.410599,0.8513555526733398,3.1011009999999715
398,1624.5117,1549,1622.230369,0.9062831997871399,2.281330999999909
402,1621.582,861,1625.295502,0.8014981746673584,-3.713501999999835
404,1627.4414,2609,1624.105993,0.835437536239624,3.335407000000032
405,1627.4414,1753,1626.114618,0.959011435508728,1.3267819999998665
409,1624.5117,1712,1621.917154,0.7817818522453308,2.5945460000000367
411,1621.582,255,1618.284392,0.9052212238311768,3.297608000000082
413,1621.582,291,1621.166586,0.8251446485519409,0.41541400000005524
414,1621.582,750,1623.607219,0.7771358489990234,-2.025218999999879
417,1618.6523,996,1619.954166,0.8789140582084656,-1.3018660000000182
419,1621.5806,852,1618.190221,0.8786218166351318,3.390378999999939
421,1618.6509,1186,1620.022279,0.9154930710792542,-1.3713789999999335
