epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5428,0,68.1408,0,0,0,0,0,0,113.679,0,0.000654762,0.000654762,0.000654762
2,18.9509,0,46.5935,0,0,0,0,0,0,79.6875,0,0.00129526,0.00129526,0.00129526
3,27.3948,0,32.8579,0,0,0,0,0,0,12.5837,0,0.00190937,0.00190937,0.00190937
4,35.735,0,22.6771,0,0,0,0,0,0,15.9554,0,0.0018812,0.0018812,0.0018812
5,44.029,0,15.1079,0,0,0,0,0,0,5.62667,0,0.0018416,0.0018416,0.0018416
6,52.2665,0,9.26242,0,0,0,0,0,0,0.23382,0,0.001802,0.001802,0.001802
