epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1272.66,1.05856,0.74708,0.23751,0.59238,0.57701,0.59595,0.38284,1.10785,0.76011,0.23524,0.0011882,0.0011882,0.0011882
43,1302.79,1.05725,0.74396,0.23661,0.59033,0.57977,0.59548,0.3725,1.14065,0.76701,0.23661,0.0011684,0.0011684,0.0011684
44,1332.84,1.05152,0.74221,0.23663,0.59873,0.58016,0.59636,0.38668,1.09355,0.7611,0.23395,0.0011486,0.0011486,0.0011486
45,1363,1.04431,0.74087,0.2366,0.59343,0.57919,0.58979,0.37558,1.08439,0.7658,0.23483,0.0011288,0.0011288,0.0011288
46,1393.06,1.03636,0.73887,0.23583,0.5841,0.58839,0.59632,0.38724,1.07359,0.75152,0.23375,0.001109,0.001109,0.001109
47,1424.4,1.03159,0.73111,0.23531,0.60557,0.5712,0.59798,0.38922,1.08326,0.74654,0.23317,0.0010892,0.0010892,0.0010892
48,1454.64,1.03517,0.73523,0.23598,0.60308,0.58508,0.60739,0.39657,1.08512,0.74112,0.2344,0.0010694,0.0010694,0.0010694
49,1484.51,1.03326,0.72626,0.23582,0.63209,0.58213,0.61973,0.40661,1.05213,0.72826,0.23387,0.0010496,0.0010496,0.0010496
50,1514.58,1.03779,0.72998,0.23541,0.62229,0.58921,0.62016,0.40664,1.06153,0.72929,0.23213,0.0010298,0.0010298,0.0010298
51,1544.54,1.01915,0.72874,0.23445,0.61739,0.58921,0.61534,0.39974,1.07852,0.73394,0.23267,0.00101,0.00101,0.00101
52,1574.62,1.01858,0.72252,0.2341,0.62177,0.58803,0.61709,0.407,1.06139,0.72459,0.23174,0.0009902,0.0009902,0.0009902
53,1604.9,1.00661,0.715,0.23302,0.61562,0.58971,0.61432,0.40018,1.0888,0.73531,0.2323,0.0009704,0.0009704,0.0009704
54,1636.1,1.01287,0.71419,0.23363,0.62082,0.59128,0.6231,0.40817,1.05268,0.72558,0.23275,0.0009506,0.0009506,0.0009506
55,1666.84,1.0076,0.71826,0.23361,0.62924,0.59315,0.62766,0.41451,1.04693,0.71778,0.23183,0.0009308,0.0009308,0.0009308
56,1697.53,0.99872,0.71061,0.23254,0.63308,0.5928,0.62988,0.41478,1.06644,0.71538,0.23104,0.000911,0.000911,0.000911
57,1728.11,1.00135,0.70797,0.23235,0.62603,0.59482,0.62561,0.41292,1.0345,0.72091,0.22979,0.0008912,0.0008912,0.0008912
58,1758.71,0.99676,0.70833,0.23259,0.62945,0.59581,0.62879,0.41151,1.07129,0.71721,0.23201,0.0008714,0.0008714,0.0008714
59,1788.97,0.98931,0.70181,0.23086,0.62828,0.59295,0.62978,0.41754,1.03539,0.71245,0.2312,0.0008516,0.0008516,0.0008516
60,1818.9,0.98971,0.70351,0.23145,0.63001,0.58882,0.6248,0.40791,1.0871,0.7179,0.23054,0.0008318,0.0008318,0.0008318
61,1849.27,0.98653,0.69914,0.23088,0.63609,0.58784,0.62471,0.40854,1.07735,0.72039,0.23045,0.000812,0.000812,0.000812
62,1879.28,0.97999,0.69722,0.22979,0.6301,0.59187,0.62762,0.40907,1.07516,0.71853,0.22996,0.0007922,0.0007922,0.0007922
63,1909.3,0.97813,0.69189,0.22987,0.63931,0.59639,0.63584,0.4224,1.03919,0.70351,0.22904,0.0007724,0.0007724,0.0007724
64,1939.69,0.97781,0.6918,0.23063,0.62999,0.59463,0.6316,0.41843,1.05148,0.70843,0.22929,0.0007526,0.0007526,0.0007526
65,1969.7,0.9733,0.68651,0.2286,0.6356,0.59994,0.63876,0.42597,1.03651,0.7047,0.22873,0.0007328,0.0007328,0.0007328
66,2000.73,0.96732,0.68842,0.22895,0.64336,0.59103,0.63699,0.42389,1.0313,0.70464,0.22814,0.000713,0.000713,0.000713
67,2030.78,0.96492,0.68601,0.22876,0.63627,0.58965,0.6337,0.41611,1.07266,0.71042,0.22908,0.0006932,0.0006932,0.0006932
68,2060.84,0.96297,0.68034,0.22886,0.64529,0.58508,0.63458,0.42249,1.04288,0.70135,0.22829,0.0006734,0.0006734,0.0006734
69,2090.87,0.96516,0.68358,0.22816,0.64058,0.59443,0.63274,0.41865,1.05682,0.70402,0.22839,0.0006536,0.0006536,0.0006536
70,2120.96,0.96123,0.6868,0.22878,0.64186,0.59345,0.63888,0.42055,1.0582,0.70202,0.22801,0.0006338,0.0006338,0.0006338
71,2153.39,0.95397,0.67753,0.2281,0.64575,0.59005,0.63669,0.41693,1.08573,0.70457,0.22974,0.000614,0.000614,0.000614
72,2185.93,0.9568,0.67517,0.22788,0.63404,0.59951,0.63549,0.42063,1.0641,0.70264,0.22855,0.0005942,0.0005942,0.0005942
73,2217.06,0.95058,0.67052,0.22718,0.64614,0.59364,0.64382,0.43263,1.01943,0.69014,0.22672,0.0005744,0.0005744,0.0005744
74,2248.5,0.94656,0.67076,0.22811,0.64776,0.59207,0.64173,0.4294,1.03792,0.69329,0.22806,0.0005546,0.0005546,0.0005546
75,2280.3,0.9394,0.66631,0.22684,0.64573,0.59089,0.63977,0.42751,1.04652,0.69646,0.2278,0.0005348,0.0005348,0.0005348
76,2311.31,0.94114,0.66949,0.22623,0.64743,0.59286,0.64002,0.42653,1.046,0.695,0.2272,0.000515,0.000515,0.000515
77,2342.15,0.93407,0.66206,0.22596,0.64923,0.58872,0.63963,0.4274,1.04313,0.6944,0.22737,0.0004952,0.0004952,0.0004952
78,2372.87,0.93593,0.66095,0.22589,0.63799,0.59422,0.63831,0.42206,1.05622,0.69477,0.227,0.0004754,0.0004754,0.0004754
79,2403.73,0.93044,0.66118,0.22623,0.6432,0.59522,0.64158,0.42693,1.04839,0.69268,0.22753,0.0004556,0.0004556,0.0004556
80,2434.5,0.92284,0.65907,0.22533,0.65085,0.59738,0.64577,0.43141,1.03404,0.69023,0.22685,0.0004358,0.0004358,0.0004358
81,2465.24,0.92111,0.65712,0.22576,0.64724,0.59738,0.64569,0.43128,1.04129,0.68991,0.22727,0.000416,0.000416,0.000416
82,2495.81,0.92494,0.65656,0.22529,0.64224,0.60289,0.64394,0.43177,1.03587,0.68868,0.2268,0.0003962,0.0003962,0.0003962
83,2526.22,0.91559,0.64915,0.22389,0.64321,0.60043,0.64446,0.43125,1.03704,0.69044,0.22619,0.0003764,0.0003764,0.0003764
84,2556.78,0.90771,0.64493,0.22347,0.64209,0.60063,0.64689,0.43115,1.04541,0.69121,0.22664,0.0003566,0.0003566,0.0003566
85,2587.66,0.9137,0.64934,0.22428,0.64541,0.59688,0.64515,0.43058,1.03918,0.69116,0.22656,0.0003368,0.0003368,0.0003368
86,2618.51,0.91462,0.64856,0.22476,0.64539,0.60094,0.64918,0.43554,1.0298,0.68532,0.22616,0.000317,0.000317,0.000317
87,2649.36,0.90507,0.64438,0.22393,0.64569,0.60417,0.65015,0.43533,1.03729,0.68438,0.22653,0.0002972,0.0002972,0.0002972
88,2680.2,0.90773,0.64388,0.22374,0.64442,0.60476,0.64788,0.43587,1.0342,0.68367,0.226,0.0002774,0.0002774,0.0002774
89,2711.08,0.90341,0.64059,0.22388,0.64895,0.60339,0.65031,0.43523,1.04121,0.68537,0.22626,0.0002576,0.0002576,0.0002576
90,2741.74,0.90097,0.6403,0.22319,0.65298,0.60037,0.65145,0.43635,1.03366,0.6851,0.22586,0.0002378,0.0002378,0.0002378
91,2774.24,0.90131,0.63933,0.22335,0.65007,0.60348,0.65052,0.43425,1.04028,0.68832,0.22601,0.000218,0.000218,0.000218
92,2805.27,0.89488,0.63475,0.2231,0.64504,0.60772,0.64868,0.43353,1.0389,0.68665,0.22603,0.0001982,0.0001982,0.0001982
93,2836.45,0.89749,0.64155,0.2232,0.64796,0.61018,0.64957,0.43469,1.03325,0.6856,0.22578,0.0001784,0.0001784,0.0001784
94,2867.45,0.89009,0.63385,0.22233,0.65249,0.6048,0.64933,0.43533,1.03152,0.68512,0.22581,0.0001586,0.0001586,0.0001586
95,2898.13,0.88743,0.63456,0.22254,0.65423,0.60183,0.64867,0.43453,1.03662,0.68468,0.22567,0.0001388,0.0001388,0.0001388
96,2928.79,0.88945,0.63183,0.22228,0.65021,0.60703,0.64857,0.43305,1.0423,0.68519,0.22568,0.000119,0.000119,0.000119
97,2959.54,0.88303,0.62476,0.22157,0.65342,0.60565,0.64969,0.43461,1.04058,0.68443,0.22571,9.92e-05,9.92e-05,9.92e-05
98,2990.03,0.88409,0.6276,0.22255,0.65407,0.60588,0.64883,0.43469,1.03838,0.68456,0.22587,7.94e-05,7.94e-05,7.94e-05
99,3020.66,0.88426,0.62332,0.22123,0.65501,0.60447,0.64921,0.43457,1.03731,0.68372,0.22588,5.96e-05,5.96e-05,5.96e-05
100,3051.27,0.87725,0.62298,0.22143,0.65716,0.60196,0.64839,0.43408,1.03709,0.68361,0.22597,3.98e-05,3.98e-05,3.98e-05
