epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7628,2.3529,7.08432,0.55066,0.08962,0.10717,0.05848,0.02381,2.72532,4.03598,0.58067,0.000997988,0.000997988,0.000997988
2,111.818,2.18498,3.21105,0.49676,0.07529,0.17446,0.07815,0.02242,2.7875,3.90272,0.59979,0.00197821,0.00197821,0.00197821
3,163.07,2.18873,2.70843,0.50075,0.23751,0.12168,0.07622,0.02104,2.89202,3.48376,0.61198,0.00293863,0.00293863,0.00293863
4,214.575,2.20964,2.64556,0.50629,0.07646,0.10516,0.02461,0.00758,2.99356,9.51419,0.63144,0.00387925,0.00387925,0.00387925
5,267.512,2.26759,2.66838,0.51118,0.14477,0.08541,0.04488,0.01496,3.05024,4.22357,0.64894,0.00480007,0.00480007,0.00480007
6,321.84,2.256,2.66983,0.51589,0.06504,0.11241,0.02814,0.00881,3.06456,3.81863,0.64147,0.00570109,0.00570109,0.00570109
7,372.777,2.32852,2.769,0.53297,0.06252,0.09952,0.03724,0.0129,3.04881,4.25656,0.63871,0.00658231,0.00658231,0.00658231
8,424.602,2.38129,2.92757,0.55141,0.20833,0.01209,0.11092,0.04207,3.44578,5.98543,0.84829,0.00744373,0.00744373,0.00744373
9,480.775,2.80535,5.16725,0.72591,0.00976,0.0552,0.00532,0.00216,3.62452,4.22599,3.19384,0.00828535,0.00828535,0.00828535
10,533.127,3.10967,7.09262,1.16769,0.00081,0.07051,0.0005,0.00016,3.4921,417.601,1.25254,0.00910717,0.00910717,0.00910717
11,586.754,3.04635,7.36824,1.27418,0.00045,0.04512,0.00247,0.00072,3.54148,15.4844,2.29698,0.00901,0.00901,0.00901
12,638.238,3.00702,11.1509,1.46833,0.00915,0.03022,0.00477,0.00144,3.48444,8.80402,3.25647,0.008911,0.008911,0.008911
13,690.583,3.03256,8.72417,1.68899,0.00909,0.03344,0.00482,0.00149,3.67573,3.36335,1.87622,0.008812,0.008812,0.008812
14,742.319,3.09321,13.668,1.85258,0.00472,0.09388,0.00308,0.00082,3.3207,5.73874,2.26364,0.008713,0.008713,0.008713
15,794.627,3.04727,13.5308,2.10538,0.00201,0.02176,0.00105,0.00021,3.85166,72.6968,4.28544,0.008614,0.008614,0.008614
16,847.347,3.14956,15.1515,2.71969,0.01334,0.07413,0.0075,0.00235,3.42244,7.78873,2.69338,0.008515,0.008515,0.008515
17,900.69,3.16247,14.1485,3.15642,0.00174,0.02337,0.00092,0.00017,3.71549,59.5328,4.04374,0.008416,0.008416,0.008416
18,952.522,3.13233,11.0704,3.13778,0.00313,0.06285,0.00231,0.00073,3.63162,32.9543,4.31599,0.008317,0.008317,0.008317
